"lat","lon","alt","vel"
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
-15.818391,-48.061170,1214.200000,5.921000
-15.818362,-48.060830,1227.700000,0.377000
-15.818321,-48.060727,1220.800000,1.196000
-15.818294,-48.060688,1210.700000,0.423000
-15.818286,-48.060679,1211.200000,0.248000
-15.818280,-48.060667,1211.400000,0.164000
-15.818276,-48.060660,1211.100000,0.102000
-15.818271,-48.060655,1210.000000,0.089000
-15.818268,-48.060650,1209.100000,0.143000
-15.818269,-48.060650,1208.600000,0.318000
-15.818267,-48.060653,1209.000000,0.533000
-15.818268,-48.060657,1209.800000,0.232000
-15.818268,-48.060660,1210.100000,0.358000
-15.818267,-48.060662,1210.600000,0.285000
-15.818265,-48.060663,1211.000000,0.089000
-15.818265,-48.060662,1211.200000,0.491000
-15.818268,-48.060661,1211.300000,0.376000
-15.818265,-48.060656,1211.200000,0.837000
-15.818262,-48.060653,1211.000000,0.873000
-15.818258,-48.060651,1210.700000,0.944000
-15.818258,-48.060652,1211.200000,0.449000
-15.818258,-48.060652,1211.300000,0.289000
-15.818256,-48.060651,1211.200000,0.183000
-15.818256,-48.060650,1211.100000,0.068000
-15.818255,-48.060651,1211.400000,0.227000
-15.818254,-48.060649,1211.500000,0.020000
-15.818253,-48.060649,1211.600000,0.045000
-15.818259,-48.060656,1212.900000,0.270000
-15.818258,-48.060654,1213.300000,0.184000
-15.818254,-48.060656,1213.600000,0.453000
-15.818249,-48.060657,1213.600000,0.884000
-15.818250,-48.060660,1213.100000,0.300000
-15.818258,-48.060662,1213.300000,0.761000
-15.818265,-48.060662,1213.900000,1.286000
-15.818273,-48.060662,1214.300000,1.456000
-15.818282,-48.060664,1214.400000,1.383000
-15.818285,-48.060665,1214.400000,0.803000
-15.818287,-48.060665,1215.100000,0.212000
-15.818288,-48.060662,1214.800000,0.281000
-15.818288,-48.060662,1215.600000,0.432000
-15.818287,-48.060663,1215.700000,0.041000
-15.818286,-48.060667,1216.000000,0.877000
-15.818285,-48.060667,1215.400000,0.554000
-15.818284,-48.060669,1215.300000,0.521000
-15.818284,-48.060669,1215.300000,0.257000
-15.818284,-48.060667,1215.200000,0.134000
-15.818283,-48.060665,1215.000000,0.060000
-15.818282,-48.060664,1214.800000,0.103000
-15.818281,-48.060663,1214.800000,0.233000
-15.818284,-48.060665,1214.700000,0.352000
-15.818295,-48.060668,1214.200000,1.471000
-15.818305,-48.060673,1214.200000,1.940000
-15.818301,-48.060672,1214.000000,0.872000
-15.818298,-48.060672,1214.100000,0.379000
-15.818293,-48.060670,1213.800000,0.064000
-15.818290,-48.060669,1214.100000,0.042000
-15.818287,-48.060668,1213.900000,0.084000
-15.818287,-48.060667,1213.700000,0.082000
-15.818285,-48.060667,1213.500000,0.241000
-15.818287,-48.060668,1213.300000,0.068000
-15.818287,-48.060669,1213.000000,0.134000
-15.818289,-48.060671,1212.900000,0.020000
-15.818289,-48.060672,1212.800000,0.016000
-15.818289,-48.060673,1212.700000,0.012000
-15.818288,-48.060674,1212.900000,0.036000
-15.818288,-48.060675,1212.800000,0.016000
-15.818288,-48.060676,1212.700000,0.009000
-15.818288,-48.060677,1212.700000,0.029000
-15.818288,-48.060678,1212.700000,0.022000
-15.818288,-48.060678,1212.700000,0.071000
-15.818288,-48.060680,1212.700000,0.062000
-15.818288,-48.060680,1213.000000,0.053000
-15.818288,-48.060681,1213.100000,0.040000
-15.818288,-48.060682,1213.200000,0.056000
-15.818288,-48.060682,1213.300000,0.040000
-15.818287,-48.060682,1213.600000,0.085000
-15.818292,-48.060680,1213.600000,1.170000
-15.818295,-48.060678,1213.500000,1.078000
-15.818297,-48.060675,1213.700000,0.846000
-15.818301,-48.060672,1213.800000,0.929000
-15.818301,-48.060670,1213.800000,0.691000
-15.818303,-48.060669,1213.900000,0.408000
-15.818305,-48.060668,1213.800000,0.329000
-15.818302,-48.060666,1213.600000,0.056000
-15.818300,-48.060666,1213.500000,0.140000
-15.818287,-48.060660,1213.300000,1.806000
-15.818246,-48.060649,1213.300000,5.668000
-15.818238,-48.060638,1213.300000,4.103000
-15.818237,-48.060641,1213.300000,2.476000
-15.818238,-48.060642,1213.300000,1.376000
-15.818245,-48.060647,1213.400000,0.359000
-15.818248,-48.060651,1213.300000,0.101000
-15.818250,-48.060654,1213.200000,0.060000
-15.818251,-48.060654,1212.900000,0.244000
-15.818253,-48.060655,1212.700000,0.172000
-15.818255,-48.060656,1212.500000,0.227000
-15.818257,-48.060657,1212.500000,0.092000
-15.818258,-48.060659,1212.500000,0.074000
-15.818259,-48.060660,1212.700000,0.231000
-15.818261,-48.060661,1212.500000,0.105000
-15.818264,-48.060663,1212.400000,0.187000
-15.818266,-48.060664,1212.200000,0.113000
-15.818270,-48.060665,1211.800000,0.241000
-15.818275,-48.060667,1211.600000,0.348000
-15.818278,-48.060669,1211.600000,0.173000
-15.818280,-48.060669,1211.400000,0.076000
-15.818281,-48.060670,1211.100000,0.094000
-15.818283,-48.060671,1210.900000,0.053000
-15.818283,-48.060671,1211.300000,0.043000
-15.818283,-48.060671,1211.100000,0.077000
-15.818283,-48.060671,1210.900000,0.171000
-15.818281,-48.060670,1210.900000,0.168000
-15.818279,-48.060668,1210.700000,0.333000
-15.818278,-48.060667,1210.600000,0.251000
-15.818277,-48.060666,1210.600000,0.208000
-15.818275,-48.060666,1210.600000,0.203000
-15.818273,-48.060665,1210.600000,0.107000
-15.818270,-48.060664,1210.600000,0.334000
-15.818269,-48.060662,1210.700000,0.410000
-15.818270,-48.060662,1210.900000,0.292000
-15.818269,-48.060662,1211.100000,0.106000
-15.818268,-48.060661,1211.100000,0.099000
-15.818267,-48.060660,1211.200000,0.122000
